三ッ林　裕巳		安倍派	埼玉14区		衆	18-22年	2954万円	1808万円	https://news.yahoo.co.jp/articles/efd92ca72993ca4562081af0b6d7ad7ab93913f0
山谷　えり子		安倍派	比例区		参	18-22年	2403万円	1519万円	https://www3.nhk.or.jp/lnews/fukui/20240127/3050016912.html
山田　宏		安倍派	比例区		参	18-22年	560万円	282万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
山田　修路	元職	安倍派	石川県選挙区		参	20-22年	365万円	365万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
山田　美樹		安倍派	東京1区		衆	18-22年	76万円	34万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
山本　順三		安倍派	愛媛県選挙区		参	18-22年	58万円	34万円	https://mainichi.jp/articles/20240124/ddm/041/010/054000c
柴山　昌彦		安倍派	埼玉8区		衆	18-22年	896万円	556万円	https://news.yahoo.co.jp/articles/efd92ca72993ca4562081af0b6d7ad7ab93913f0
若林　健太		安倍派	長野1区		衆	18-22年	368万円	184万円	https://digital.asahi.com/articles/ASS1N73F0S1NUTIL00B.html
宗清　皇一		安倍派	比例近畿	大阪１３区	衆	18-22年	1408万円	854万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
小森　卓郎		安倍派	石川1区		衆	20-22年	70万円	70万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
小田原　潔		安倍派	東京21区		衆	18-22年	1240万円	844万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
松川　るい		安倍派	大阪府選挙区		参	19-22年	204万円	194万円	https://digital.asahi.com/articles/ASS1R6X9CS1RUTFK01L.html
松野　博一		安倍派	千葉3区		衆	18-22年	1051万円	865万円	https://www.jiji.com/jc/article?k=2024012601180
上杉　謙太郎		安倍派	比例東北	福島３区	衆	18-22年	309万円	286万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
上野　宏史	元職	安倍派	比例南関東		衆	20-22年	781万円	781万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
上野　通子		安倍派	栃木県選挙区		参	18-22年	318万円	188万円	https://www.shimotsuke.co.jp/articles/-/849547
森　雅子		安倍派	福島県選挙区		参	18-22年	282万円	168万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
杉田　水脈		安倍派	比例中国		衆	18-22年	1564万円	872万円	https://www.47news.jp/10468356.html
菅家　一郎		安倍派	比例東北	福島４区	衆	18-21年	1289万円	678万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
世耕　弘成		安倍派	和歌山県選挙区		参	18-22年	1542万円	836万円	https://mainichi.jp/articles/20240120/k00/00m/010/012000c
西村　康稔		安倍派	兵庫9区		衆	18-22年	100万円	70万円	https://mainichi.jp/articles/20240120/dde/041/010/012000c
西村　明宏		安倍派	宮城3区		衆	20-22年	554万円	554万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
西田　昌司		安倍派	京都府選挙区		参	18-22年	411万円	234万円	https://nordot.app/1125750583425532196?c=39546741839462401
青山　周平		安倍派	比例東海	愛知１２区	衆	18-22年	230万円	72万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
石井　正弘		安倍派	岡山県選挙区		参	15-22年	576万円	198万円	https://digital.asahi.com/articles/ASS1S6HW8S1SPPZB00C.html
石田　昌宏		安倍派	比例区		参	20-22年	26万円	26万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
赤池　誠章		安倍派	比例区		参	18-22年	268万円	98万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
太田　房江		安倍派	大阪府選挙区		参	18-22年	214万円	16万円	https://newsdig.tbs.co.jp/articles/-/955852
大塚　拓		安倍派	埼玉9区		衆	18-22年	994万円	874万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
大野　泰正		安倍派	岐阜県選挙区		参	18-22年	5154万円	3146万円	https://digital.asahi.com/articles/DA3S15842940.html
谷川　とむ		安倍派	比例近畿	大阪１９区	衆	18-22年	188万円	134万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
谷川　弥一	略式起訴	安倍派	長崎3区		衆	18-22年	4355万円	2303万円	https://digital.asahi.com/articles/DA3S15842940.html
池田　佳隆	起訴	安倍派	比例東海	愛知3区	衆	18-22年	4826万円	3208万円	https://digital.asahi.com/articles/DA3S15842940.html
馳　浩	現石川県知事	安倍派	石川1区		衆	18-22年	819万円	601万円	https://digital.asahi.com/articles/ASS1P76Y6S1PPISC00T.html
中根　一幸		安倍派	比例北関東	埼玉６区	衆	18-22年	1860万円	434万円	https://news.yahoo.co.jp/articles/efd92ca72993ca4562081af0b6d7ad7ab93913f0
中山　泰秀	元職	安倍派	大阪4区		衆	18-22年	908万円	596万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
中川　雅治	元職	安倍派	東京都選挙区		参	20-22年	20万円	20万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
長崎　幸太郎	現山梨県知事	二階派	山梨2区		衆	19年	1182万円		https://digital.asahi.com/articles/ASS1N73F0S1NUTIL00B.html
長尾　敬	元職	安倍派	大阪14区		衆	20-22年	282万円	282万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
長峯　誠		安倍派	宮崎県選挙区		参	18-22年	116万円	78万円	https://digital.asahi.com/articles/ASS1N73F0S1NUTIL00B.html
田畑　裕明		安倍派	富山1区		衆	18,20,21年	68万円	44万円	https://www3.nhk.or.jp/lnews/toyama/20240120/3060015646.html
藤原　崇		安倍派	岩手3区		衆	18-22年	14万円	10万円	https://digital.asahi.com/articles/ASS1M6V78S1MULUC012.html
二階　俊博	世襲	二階派	和歌山2区		衆	18-22年	3526万円	1768万円	https://digital.asahi.com/articles/DA3S15842940.html
萩生田　光一		安倍派	東京24区		衆	18-22年	2728万円	1952万円	https://mainichi.jp/articles/20240122/k00/00m/010/243000c
尾身　朝子		安倍派	比例北関東		衆	18-22年	623万円	367万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
武田　良太		二階派	福岡11区		衆	18-22年	1926万円	1172万円	https://kbc.co.jp/news/article.php?id=11659973&ymd=2024-01-20
福井　照	元職	二階派	比例四国		衆	18-22年	1254万円		https://www3.nhk.or.jp/lnews/kochi/20240119/8010019642.html
福田　達夫		安倍派	群馬4区		衆	18-22年	98万円	94万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
平沢　勝栄		二階派	東京17区		衆	18-22年	1817万円	1080万円	https://www.yomiuri.co.jp/national/20240120-OYT1T50039/
北村　経夫		安倍派	山口県選挙区		参	18-22年	118万円	98万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
堀井　学		安倍派	比例北海道	北海道９区	衆	18-22年	2196万円	1086万円	https://mainichi.jp/articles/20240123/k00/00m/010/210000c
堀井　巌		安倍派	奈良県選挙区		参	18-22年	876万円	466万円	https://www.47news.jp/10448454.html
末松　信介		安倍派	兵庫県選挙区		参	18-22年	584万円	582万円	https://www.kobe-np.co.jp/news/society/202401/0017257818.shtml
木村　次郎		安倍派	青森3区		衆	18-22年	236万円	144万円	https://www.toonippo.co.jp/articles/-/1714895
野上　浩太郎		安倍派	富山県選挙区		参	19-20年	100万円	92万円	https://www3.nhk.or.jp/lnews/toyama/20240120/3060015646.html
林幹　雄		二階派	千葉10区		衆	18-22年	1608万円	1512万円	https://www.yomiuri.co.jp/national/20240120-OYT1T50039/
鈴木　英敬		安倍派	三重4区		衆	22年	280万円	280万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
鈴木　淳司		安倍派	愛知7区		衆	18-22年	60万円	52万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
和田　義明		安倍派	北海道5区		衆	18-22年	990万円	710万円	https://www.hokkaido-np.co.jp/article/971401/
簗　和生		安倍派	栃木3区		衆	18-22年	1746万円	924万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
